R,dR,winRate
0.0005,0.9,0.48902
0.0005,0.95,0.48902
0.0005,0.99,0.48902
0.0005,1,0.48883
0.0005,1.01,0.39755
0.0005,1.05,0.30101
0.0005,1.1,0.25039
0.001,0.9,0.4883
0.001,0.95,0.48923
0.001,0.99,0.48958
0.001,1,0.48204
0.001,1.01,0.39907
0.001,1.05,0.30234
0.001,1.1,0.25235
0.005,0.9,0.4714
0.005,0.95,0.47092
0.005,0.99,0.46866
0.005,1,0.45669
0.005,1.01,0.40483
0.005,1.05,0.30514
0.005,1.1,0.25265
0.01,0.9,0.45634
0.01,0.95,0.45635
0.01,0.99,0.45278
0.01,1,0.44042
0.01,1.01,0.4024
0.01,1.05,0.30688
0.01,1.1,0.25442
0.05,0.9,0.40298
0.05,0.95,0.39805
0.05,0.99,0.38048
0.05,1,0.37088
0.05,1.01,0.3572
0.05,1.05,0.30499
0.05,1.1,0.26071
0.1,0.9,0.35784
0.1,0.95,0.34754
0.1,0.99,0.32927
0.1,1,0.32248
0.1,1.01,0.31424
0.1,1.05,0.28223
0.1,1.1,0.25071
1,0.9,0.16479
1,0.95,0.16479
1,0.99,0.16479
1,1,0.16479
1,1.01,0.16479
1,1.05,0.16479
1,1.1,0.16479
